Date,City,Country,Temp,Humidity,Cloud,Wind,Latitude,Longitude
1551304539,sawakin,Sudan,69.25,93,0,8.41,20.98120744851812,36.51180271986368
1551303871,qaanaaq,Greenland,-19.22,81,0,2.37,79.05520072672604,-83.15346415707276
1551302400,havoysund,Norway,22.98,73,90,20.8,75.40352508837998,23.27165246456775
1551301200,la ronge,Canada,19.4,62,90,21.92,58.15275074406654,-104.82664648465362
1551304540,boende,"Congo, The Democratic Republic of the",73.48,95,100,0.92,0.22496789595575706,21.071336601825806
1551304324,maketu,New Zealand,69.01,67,0,3,-37.42179203407266,176.45543891893726
1551304505,ullapool,United Kingdom,42.01,90,0,2.15,57.83221388597042,-5.250506193195662
1551304340,dali,China,42.97,98,20,3.83,25.263441584809357,101.31533646354171
1551304542,vallenar,Chile,73.44,63,12,2.71,-28.803141658119443,-71.95234480440003
1551301200,port elizabeth,South Africa,62.6,77,0,10.29,-80.14936158254946,33.07323960848041
1551304313,port blair,India,82.75,100,0,8.75,9.42960119518311,93.09413056160844
1551303000,can tho,Viet Nam,77,83,0,4.7,9.976150658146423,105.94740579300606
1551304039,hobart,Australia,56.59,82,0,3.71,-64.65618160365497,143.68359752044427
1551301200,sao joao da barra,Brazil,84.2,70,0,18.34,-31.51440070693218,-23.224334344113544
1551304543,marsa matruh,Egypt,54.18,65,8,14,31.80925052934569,26.930596675630113
1551301800,chapais,Canada,6.8,60,75,8.05,50.87043377954254,-73.2589924664114
1551304511,gold coast,Australia,70.83,69,90,5.82,-27.093415827591492,155.84707407910122
1551301200,ponta do sol,Cabo Verde,71.6,56,20,18.34,24.724136516757937,-31.024907002988016
1551304554,karoi,Zimbabwe,67.63,81,0,3.04,-16.64588933898692,30.13111637011329
1551304555,poum,New Caledonia,77.98,100,8,23.85,-18.064530622945213,156.76035734259045
1551304456,abu kamal,Syrian Arab Republic,51.43,73,48,6.62,35.094452123095294,40.92884880584984
1551303926,tiksi,Russian Federation,-23.32,33,0,5.5,70.21819721470916,129.6698076217324
1551303000,grindavik,Iceland,42.06,86,75,14.99,52.510798387146906,-24.31280838993831
1551301200,port hardy,Canada,35.6,59,75,2.24,41.58659101017983,-140.59899772707212
1551304547,fernandina beach,United States,68.45,82,75,4.7,30.557187059812065,-81.22822839960011
1551301200,jacqueville,Côte d'Ivoire,82.4,78,20,4.7,2.0399383040793566,-4.144751376510584
1551304370,dunedin,New Zealand,53.01,62,32,11.99,-57.12254351965354,178.23831498279628
1551304512,shimoda,Japan,44.96,92,88,1.99,22.64302154147005,142.61548016231677
1551304507,esmeraldas,Ecuador,85.06,70,75,2.24,1.8022992810934255,-80.55138551391049
1551304486,mago,Russian Federation,1.3,59,0,4.61,53.28021766568952,140.37105277343937
1551303917,provideniya,Russian Federation,31,92,92,34.02,49.414281818841005,-173.75514206413382
1551303892,butaritari,Kiribati,81.09,100,64,16.02,3.3435828009822472,170.38898203117316
1551304325,saint george,Bermuda,61.79,52,75,4.7,30.38812022513966,-62.613244701348975
1551304251,chokurdakh,Russian Federation,-10.45,70,80,12.77,81.87770174567731,152.55393046791232
1551301200,mbini,Equatorial Guinea,77,100,40,4.72,1.4061425537583148,8.317388314430104
1551304558,tabas,"Iran, Islamic Republic of",50.31,69,20,6.06,33.57933601103191,57.22268720150632
1551304559,mogzon,Russian Federation,4.63,53,0,4.5,51.45626903442971,112.09986115170989
1551304559,gornopravdinsk,Russian Federation,5.76,72,48,3.49,62.94375065550261,69.36174248370568
1551301200,victoria,Seychelles,78.8,88,20,4.7,-1.3709245642079964,63.34527928432482
1551304514,zyryanka,Russian Federation,-11.48,73,76,3.6,65.63511206670842,151.53587570662222
1551304036,yellowknife,Canada,9.66,60,20,18.34,83.71740132997391,-113.2903685402419
1551301200,male,Maldives,80.6,78,20,3.36,4.121393144824779,76.86616852495996
1551301200,riyadh,Saudi Arabia,69.8,35,75,9.53,24.362615033895295,46.35170861135293
1551304004,mazatlan,Mexico,77.31,39,75,13.87,22.970929461247195,-107.14585219367352
1551304560,pahalgam,India,-8.74,59,12,1.81,34.307149656089976,75.15557758286772
1551304511,atikokan,Canada,10.48,57,0,7.74,48.214294294494664,-91.43501028404731
